mpo,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""01198300""","""Southeast Wiregrass Area MPO""","""Dothan, AL,Ozark, AL""",49.12,67597.13,25356.82,150557.62,52,64,40,24,30,17,29,34,23,8.08,4.72,1.84,2,2,20041,19331,20878,0,0,0,13281,12718,14428,10502,10036,11534,2769,2671,2884,10,10,10,12,13,12,2.1,3.1,0.82,0.17,4840,71,7539,83,51,23,2327,914,983,714,68,32
"""01201300""","""Eastern Shore MPO""","""Daphne-Fairhope-Foley, AL""",25.36,52440.92,18493.74,133935.26,57,68,53,30,38,28,26,30,24,9.86,4.27,2.00,2,2,23225,23039,23367,1,1,1,15194,14148,15371,11975,10954,12133,3209,3184,3228,11,11,11,13,13,13,1.5,2.5,0.54,0.14,4000,76,4419,84,70,22,2746,1481,1579,930,81,19
"""02196800""","""Anchorage Metropolitan Area Transportation Solutions""","""Anchorage, AK""",158.24,204286.72,75796.78,100208.55,44,53,56,26,32,34,18,21,22,7.16,22.00,1.84,2,2,17663,17451,17000,3,3,3,14838,13952,13671,11556,10708,10511,3227,3187,3105,55,57,56,69,71,69,2.1,6.7,1.96,0.76,13472,47,25051,79,24,52,4032,1779,1927,1205,67,33
"""02200300""","""Fairbanks Metropolitan Area Transportation System""","""Fairbanks, AK""",34.46,42154.59,16843.14,39269.00,44,53,52,24,30,29,20,23,23,7.86,11.89,1.85,2,2,19302,19146,19161,1,1,1,15184,14247,14284,11635,10727,10762,3526,3496,3499,22,23,23,28,29,29,3.0,4.9,1.55,0.43,4398,51,7854,81,31,49,2325,1541,1756,1129,64,36
"""04197301""","""Maricopa Association of Governments""","""Payson, AZ,Phoenix-Mesa-Chandler, AZ,Prescott Valley-Prescott, AZ,Tucson, AZ,Yuma, AZ""",2263.99,3736616.04,1364258.83,5772824.68,48,60,49,26,33,27,22,27,22,6.78,21.33,1.84,2,2,16704,16435,16432,3,3,3,14054,13581,13863,10992,10567,10851,3051,3001,3001,11,12,11,16,17,16,2.8,6.1,1.00,0.24,27362,64,39014,79,19,19,4826,1406,1427,1116,66,34
"""04197302""","""Pima Association of Governments""","""Nogales, AZ,Phoenix-Mesa-Chandler, AZ,Safford, AZ,Sierra Vista-Douglas, AZ,Tucson, AZ,Yuma, AZ""",485.98,755077.15,306524.19,4205222.58,52,63,45,27,34,23,25,29,22,7.05,14.88,1.73,2,2,17236,16981,17759,3,3,3,13533,12522,14068,10369,9401,10809,3126,3081,3221,38,40,37,50,53,49,0.6,4.8,0.40,0.07,16558,59,17325,81,61,6,4183,1205,1274,949,67,33
"""04198300""","""Yuma MPO""","""El Centro, CA,Phoenix-Mesa-Chandler, AZ,Tucson, AZ,Yuma, AZ""",104.00,131504.03,46573.84,3332537.01,57,70,43,28,35,20,30,35,23,7.69,17.79,1.76,2,2,18819,18258,19083,1,1,1,13418,12833,14545,9977,9494,11057,3438,3335,3485,3,3,3,4,4,3,5.1,1.9,2.86,0.01,9286,57,8679,85,28,3,11943,1047,1092,864,67,33
"""04199600""","""Flagstaff MPO""","""Flagstaff, AZ""",30.81,53627.26,15879.81,144619.25,55,68,52,31,38,29,25,30,23,7.80,11.37,1.86,2,2,19357,18855,19353,1,1,1,14650,14189,14703,11099,10729,11153,3535,3443,3534,16,17,16,52,54,51,0.9,3.8,0.91,0.11,5486,57,9330,83,34,23,4144,1513,1588,1144,62,38
"""04200300""","""Central Yavapai MPO""","""Prescott Valley-Prescott, AZ""",10.46,19584.77,8235.43,8721.84,53,64,45,27,34,23,26,30,23,7.34,14.99,1.73,2,2,17477,17019,18727,1,1,1,13567,12581,14407,10372,9469,10984,3192,3109,3420,3,3,3,5,5,5,3.3,4.0,1.94,0.94,7796,66,5265,82,24,79,1682,1182,1326,904,70,30
"""04201301""","""Lake Havasu Metropolitan Planning Organization""","""Lake Havasu City-Kingman, AZ""",10.94,12622.44,5961.62,77904.75,56,69,43,29,36,21,27,33,22,6.88,7.67,1.64,2,2,17119,16659,18383,1,1,1,12436,11922,13971,9295,8864,10600,3127,3043,3357,14,14,14,17,18,18,1.6,4.6,2.09,0.08,5690,51,5843,82,74,13,3188,1092,1224,885,75,25
