blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""471870504032""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,898.00,364.00,2460.02,66,82,70,41,51,43,25,31,27,10.74,1.59,2.18,2,2,25592,25343,25632,1,1,1,16878,16421,16817,13027,12608,12960,3850,3812,3856,1,1,1,0,0,0,0.5,3.6,0.49,0.15,6230,87,8219,83,351,17,8239,2249,2275,1875,94,6
"""471870512024""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,14205.00,4363.00,2356.27,52,64,55,29,36,31,23,28,24,10.12,18.73,2.01,2,2,21828,21316,21779,1,1,1,15302,14909,15244,12017,11702,11966,3284,3207,3276,1,1,1,0,0,0,3.7,3.8,13.84,1.85,8921,75,5398,82,17,92,1117,1608,1661,1429,79,21
"""471870512022""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,5366.00,1573.00,2203.28,53,66,56,28,35,29,25,31,26,11.27,8.05,2.18,2,2,24389,23851,24340,1,1,1,16691,16296,16635,13022,12707,12973,3669,3588,3662,1,1,1,0,0,0,2.1,2.8,2.35,0.71,6617,93,4388,84,32,44,1384,1544,1562,1446,85,15
"""471870504031""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,1095.00,341.00,1063.74,70,87,74,44,56,47,25,31,27,11.01,3.53,2.22,2,2,23769,23488,23784,1,1,1,16837,16443,16786,13260,12909,13207,3576,3533,3578,1,1,1,1,1,1,1.1,4.6,0.44,0.32,8000,100,9342,81,89,25,3153,2458,2510,,98,2
"""471870511003""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,2277.00,841.00,17055.69,65,81,69,39,49,41,27,32,28,12.01,0.59,2.26,2,2,27178,26655,27151,0,0,0,17630,17193,17569,13541,13182,13485,4088,4010,4084,1,1,1,0,0,0,0.8,1.8,0.07,0.05,3999,94,3608,85,155,11,2740,2149,2367,1087,83,17
"""471870505042""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,2340.00,737.00,2752.80,53,66,56,27,34,29,26,32,27,11.44,3.06,2.25,2,2,25351,24819,25311,0,0,0,17269,16877,17215,13455,13143,13407,3814,3734,3808,1,1,1,0,0,0,1.4,2.5,0.56,0.27,3750,99,3270,84,51,39,1851,1514,1505,1572,87,13
"""471870506022""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,3115.00,1250.00,772.81,49,61,52,28,35,30,21,25,22,7.89,12.76,1.84,2,2,19059,18981,19108,1,1,1,13868,13484,13810,11000,10627,10935,2867,2855,2874,1,1,1,1,1,1,5.3,4.7,3.39,1.62,8937,52,19250,81,16,100,980,1567,1696,1224,75,25
"""471870509071""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,3112.00,1322.00,690.83,50,61,52,30,37,31,20,24,21,7.25,13.88,1.78,2,2,17696,17562,17725,1,1,1,13296,12937,13241,10632,10293,10572,2662,2642,2666,2,2,2,1,1,1,6.0,6.8,10.65,1.91,11558,58,20831,79,9,176,844,1632,1701,1509,65,35
"""471870510012""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,3040.00,880.00,930.89,63,79,67,40,49,42,24,29,25,10.03,9.48,2.11,2,2,21020,20654,21000,1,1,1,15809,15467,15764,12646,12359,12603,3162,3107,3159,1,1,1,0,0,0,2.6,5.7,2.09,0.95,8064,100,18534,80,12,122,810,2188,2263,,97,3
"""471870510021""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,1780.00,634.00,407.01,49,61,52,31,39,33,18,22,19,7.06,11.00,1.58,2,2,16574,16332,16577,1,1,1,11947,11596,11887,9452,9138,9392,2493,2457,2494,2,2,2,1,1,1,7.5,6.8,3.29,1.56,9567,30,19059,79,15,81,1158,1737,2459,1426,32,68
"""471870504061""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,2982.00,889.00,2590.35,67,83,70,41,51,43,26,32,27,11.80,4.05,2.24,2,2,25338,25066,25357,1,1,1,17239,16849,17189,13426,13078,13373,3812,3771,3815,1,1,1,1,0,1,0.7,4.1,0.95,0.34,7380,98,10306,82,162,23,3884,2252,2323,,97,3
"""471870505031""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,2479.00,786.00,12592.62,54,66,57,28,35,29,26,32,27,11.72,0.73,2.23,2,2,26118,25657,26100,0,0,0,17268,16866,17212,13338,13006,13285,3929,3860,3926,1,1,1,0,0,0,1.1,2.6,0.30,0.06,3150,87,3041,84,95,11,2519,1529,1627,782,90,10
"""471870508002""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,903.00,433.00,308.20,44,55,47,24,31,26,20,24,21,6.83,9.60,1.78,2,2,17488,17388,17527,1,1,1,13294,12901,13234,10662,10284,10596,2631,2616,2637,1,2,2,1,1,1,5.5,5.8,3.29,1.40,11257,70,26076,80,7,187,727,1350,1431,1207,68,32
"""471870509072""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,2464.00,870.00,621.41,56,69,59,33,41,35,23,28,24,8.90,12.46,2.01,2,2,19891,19515,19869,1,1,1,15033,14663,14982,12040,11726,11991,2992,2936,2989,1,1,1,1,1,1,3.2,5.9,2.39,1.40,9934,94,16251,80,10,141,726,1821,1863,1360,92,8
"""471870501033""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,979.00,376.00,9861.87,60,75,64,34,43,36,26,32,28,11.14,0.42,2.28,2,2,26038,25683,26045,1,1,1,17553,17141,17498,13635,13277,13579,3917,3864,3918,1,1,1,0,0,0,0.7,2.9,0.07,0.04,4151,90,5135,84,130,8,2926,1882,1882,,100,0
"""471870504042""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,2569.00,828.00,3365.29,68,84,72,43,53,45,25,31,27,10.87,2.67,2.22,2,2,23732,23449,23743,1,1,1,16849,16472,16800,13278,12944,13227,3570,3527,3572,1,1,1,1,1,1,1.2,4.7,0.52,0.25,7729,98,13342,81,82,22,2075,2354,2400,,98,2
