county,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""47105""","""Loudon""","""Knoxville, TN""",31.00,52340.00,20669.00,146733.76,51,62,45,24,30,21,27,31,24,8.53,3.23,1.96,2,2,20480,19889,21310,0,0,0,14823,13730,15361,11733,10728,12146,3081,2993,3206,9,9,9,11,11,11,2.0,1.8,0.57,0.14,4371,79,4416,85,40,23,2134,1102,1185,539,80,20
"""47107""","""McMinn""","""Athens, TN""",34.00,53053.00,20804.00,275278.13,58,71,43,26,32,18,32,39,25,8.71,1.67,1.89,2,2,21321,20586,22678,0,0,0,13968,13408,15573,10752,10303,12154,3208,3098,3411,8,8,8,9,9,10,1.7,1.7,0.31,0.08,3175,72,3519,85,88,15,2817,931,998,655,76,24
"""47109""","""McNairy""","""""",19.00,25844.00,10022.00,360218.15,65,79,43,27,34,17,38,45,26,9.80,0.49,1.96,2,2,23557,22632,25321,0,0,0,14688,14037,16645,11138,10626,12830,3545,3406,3809,6,5,6,7,7,7,0.9,0.7,0.17,0.03,1726,81,1535,87,147,7,3229,886,988,578,76,24
"""47111""","""Macon""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",13.00,23842.00,9170.00,196571.62,40,50,43,15,19,16,25,30,26,10.14,0.92,2.13,2,2,25730,25187,25708,0,0,0,16605,16128,16535,12727,12333,12661,3871,3789,3867,7,7,7,9,9,9,1.2,1.3,0.21,0.05,2445,68,2113,86,209,6,4043,853,930,617,77,23
"""47113""","""Madison""","""Jackson, TN""",70.00,97625.00,37944.00,356600.93,56,69,44,27,34,20,29,35,24,8.19,5.96,1.85,2,2,20354,19816,21232,1,1,1,13580,13096,14880,10507,10104,11675,3063,2982,3194,10,11,10,15,15,15,1.1,3.2,0.44,0.11,5293,76,9011,83,73,14,3335,1062,1117,859,67,33
"""47115""","""Marion""","""Chattanooga, TN-GA""",19.00,28538.00,11477.00,318829.66,50,60,43,20,25,17,29,34,26,9.80,0.80,2.02,2,2,23686,23093,24559,0,0,0,15657,14536,16221,12086,11054,12519,3563,3475,3694,7,7,8,9,9,9,1.2,1.7,0.38,0.04,2668,74,2560,85,153,8,3768,901,995,646,78,22
"""47117""","""Marshall""","""Lewisburg, TN""",19.00,32965.00,12324.00,240295.36,53,63,45,23,29,19,30,34,26,9.95,2.59,2.04,2,2,23845,23136,24233,0,0,0,15808,14676,16138,12214,11187,12485,3587,3481,3645,7,7,7,9,9,9,1.5,1.5,0.45,0.05,3075,75,3162,86,120,9,3059,1018,1069,736,74,26
"""47119""","""Maury""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",50.00,91976.00,34688.00,392408.19,44,54,46,21,26,22,23,28,24,9.43,3.74,2.00,2,2,23032,22861,23075,1,1,1,15427,15039,15372,11953,11590,11891,3465,3439,3471,10,10,10,9,9,9,1.7,3.6,0.57,0.09,4485,73,5471,83,73,14,2553,1147,1206,824,73,27
"""47121""","""Meigs""","""""",6.00,12104.00,4938.00,124886.29,55,66,44,24,30,19,31,36,26,9.56,0.39,1.99,2,2,22970,22352,24192,0,0,0,15347,14181,16196,11884,10811,12549,3455,3364,3639,7,7,8,9,9,10,1.9,1.1,0.21,0.04,2637,64,2193,86,122,10,3280,977,1033,759,82,18
"""47123""","""Monroe""","""""",28.00,46064.00,17987.00,406911.37,60,74,43,27,33,18,34,40,25,8.89,1.17,1.93,2,2,22380,21618,23709,0,0,0,14329,13740,15983,10954,10479,12409,3368,3253,3567,8,7,8,9,9,10,1.1,1.4,0.22,0.04,2789,68,2736,86,115,14,3344,938,1028,528,80,20
"""47125""","""Montgomery""","""Clarksville, TN-KY""",85.00,200180.00,72617.00,345064.98,54,65,46,26,33,22,28,33,24,9.37,7.99,1.95,2,2,22103,21640,22349,1,1,1,15003,13953,15305,11678,10696,11943,3325,3256,3362,1,1,1,0,0,0,2.4,2.9,0.58,0.21,7226,73,5920,84,89,15,3598,1152,1187,970,64,36
"""47127""","""Moore""","""Tullahoma-Manchester, TN""",4.00,6378.00,2592.00,82702.30,60,72,50,27,34,22,32,38,28,10.85,0.35,2.13,2,2,25797,25192,26753,0,0,0,16637,15448,17305,12749,11650,13273,3881,3791,4024,7,7,7,9,8,9,0.8,1.0,0.18,0.03,2367,81,2103,86,185,9,3173,1170,1284,545,87,13
