NAME,GEO_ID,pop,raceeth_total_series,raceeth_white_alone,raceeth_blackafricanamerican_alone,raceeth_americanindianalaskanative_alone,raceeth_asian_alone,raceeth_nativehawaiianotherpacificislander_alone,raceeth_someotherrace_alone,raceeth_twoormoreraces,raceeth_whitealone_nothispanicorlatino,raceeth_hispanicorlatino,units_allhousing,occupancy_total_series,occupancy_occupiedunits,occupancy_vacantunits,gq_total_series,gq_institutionalized,gq_institutionalized_correctionalfacilityadults,gq_institutionalized_juvenilefacility,gq_institutionalized_nursingorskillednursingfacility,gq_institutionalized_other,gq_noninstitutionalized,gq_noninstitutionalized_collegeoruniversitystudenthousing,gq_noninstitutionalized_militaryquarters,gq_noninstitutionalized_other,StateFIPS,GeoFIPS
"Vanleer town, Tennessee",1600000US4776860,374.0,374.0,350.0,6.0,0.0,2.0,1.0,3.0,12.0,340.0,14.0,166.0,166.0,141.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,76860.0
"Watertown city, Tennessee",1600000US4778320,1553.0,1553.0,1293.0,91.0,9.0,2.0,0.0,29.0,129.0,1283.0,58.0,624.0,624.0,570.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,78320.0
"Waverly city, Tennessee",1600000US4778560,4297.0,4297.0,3718.0,284.0,12.0,23.0,0.0,42.0,218.0,3657.0,144.0,1915.0,1915.0,1743.0,172.0,177.0,161.0,78.0,0.0,83.0,0.0,16.0,0.0,0.0,16.0,47.0,78560.0
"Westmoreland town, Tennessee",1600000US4779420,2718.0,2718.0,2479.0,36.0,6.0,26.0,0.0,25.0,146.0,2449.0,75.0,1070.0,1070.0,1002.0,68.0,104.0,104.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,47.0,79420.0
"White Bluff town, Tennessee",1600000US4779980,3862.0,3862.0,3518.0,24.0,20.0,15.0,0.0,65.0,220.0,3485.0,134.0,1597.0,1597.0,1515.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,79980.0
"White House city, Tennessee",1600000US4780200,12982.0,12982.0,11378.0,296.0,36.0,152.0,2.0,241.0,877.0,11240.0,614.0,5039.0,5039.0,4820.0,219.0,49.0,49.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,47.0,80200.0
"Scottsville city, Kentucky",1600000US2169114,4299.0,4299.0,3891.0,98.0,12.0,23.0,2.0,61.0,212.0,3848.0,144.0,2063.0,2063.0,1838.0,225.0,69.0,37.0,37.0,0.0,0.0,0.0,32.0,0.0,0.0,32.0,21.0,69114.0
"Franklin city, Kentucky",1600000US2128918,10176.0,10176.0,7910.0,1305.0,50.0,68.0,3.0,174.0,666.0,7805.0,390.0,4353.0,4353.0,3951.0,402.0,533.0,520.0,425.0,0.0,95.0,0.0,13.0,0.0,0.0,13.0,21.0,28918.0
Tennessee,0400000US47,6910840.0,6910840.0,4990938.0,1092948.0,28044.0,135615.0,4115.0,246282.0,412898.0,4900246.0,479187.0,3031605.0,3031605.0,2742947.0,288658.0,156422.0,84053.0,47728.0,2088.0,32882.0,1355.0,72369.0,55024.0,1413.0,15932.0,47.0,0.0
United States,0100000US,331449281.0,331449281.0,204277273.0,41104200.0,3727135.0,19886049.0,689966.0,27915715.0,33848943.0,191697647.0,62080044.0,140498736.0,140498736.0,126817580.0,13681156.0,8239016.0,3753401.0,1967297.0,88115.0,1627046.0,70943.0,4485615.0,2792097.0,328372.0,1365146.0,1.0,0.0
GNRC,,2089918.0,2089918.0,1436118.0,318204.0,9631.0,65772.0,1956.0,104408.0,153829.0,1397831.0,207537.0,864517.0,864517.0,805566.0,58951.0,45429.0,19377.0,11012.0,544.0,7360.0,461.0,26052.0,19870.0,1321.0,4861.0,611.0,1561.0
GNRC Region,,2190892.0,2190892.0,1513955.0,329553.0,10048.0,66724.0,2005.0,107809.0,160798.0,1474013.0,215197.0,907660.0,907660.0,845553.0,62107.0,46701.0,20455.0,11310.0,631.0,7972.0,542.0,26246.0,19870.0,1321.0,5055.0,658.0,1680.0
